id,date_of_birth,email,first_name,last_name,city,country,postal_code,state,street,phone,user_id
6c537474-363e-43bb-87e9-bd6138273f97,2025-01-01,,Kaye,Bogue,Richmond,United States,23237,Virginia,Nobel,,59215edd-21bf-408d-99af-9295660c98ed
4550454a-2676-45c8-9d74-3e9b1594fef9,2025-09-05,,Dallas,Denford,Akron,United States,44310,Ohio,Heffernan,,5b492064-63f2-4c42-b7fe-f35ddaf85372
4d880345-59e6-4b27-9197-4a6b9f0c4bde,2025-02-26,,Harry,Hariot,New York City,United States,10105,New York,Troy,,8fbc526d-f2f4-4aae-a608-bec798212e9d
4164cc92-b5a0-410b-86fb-5db61a6bff9e,2025-10-05,,Wells,Beacom,Austin,United States,78759,Texas,Rowland,,8f5a5d33-6fac-49a7-b1ae-1e55cdd96b66
49ccc60b-87ab-49cc-8642-0cae14999349,2025-05-13,,Marmaduke,Verick,Pittsburgh,United States,15274,Pennsylvania,Bartillon,,8bf82687-2635-4eb3-bcf2-f740a829e5b2
766c41a1-f8e2-4b64-871f-4d70ba28c5c4,2025-10-13,,Margarita,Laurant,Saint Cloud,United States,56372,Minnesota,Moulton,,a5b1776c-510d-46de-830f-48a68304dd43
42f1be32-681b-438b-8525-b14356d1d47b,2025-07-05,,Bria,Urwen,Los Angeles,United States,90005,California,Golf View,,91569fd0-da89-4c0b-b4e7-5ec6ff8c379d
692c7f57-0191-4531-bada-a10bfefb5fa3,2025-01-11,,Dannie,Smorthit,Fargo,United States,58122,North Dakota,Burning Wood,,9c9ad8be-e2b3-46a4-8a79-15278495a53c
433d65a6-2413-4276-ace9-ed0a099b5b01,2025-04-12,,Ruby,Glasser,Houston,United States,77228,Texas,Cascade,,9c9ad8be-e2b3-46a4-8a79-15278495a53c
1b06f511-3a3b-4079-8f45-c584b9ad0843,2025-03-15,,Frederigo,Cadwell,Baltimore,United States,21239,Maryland,Sutherland,,5f5e3fb2-b35d-4f7c-9fcb-e199a103ad22
a7405991-3731-4925-8d3f-445707db1cd1,2024-12-11,,Roanna,Postins,Clearwater,United States,34615,Florida,Twin Pines,,e90e4ff8-6885-4265-bbf6-2649ed601525
cf23c8aa-b412-4198-9a64-d441e9fd2205,2025-03-15,,Shay,Guynemer,Detroit,United States,48217,Michigan,Summerview,,064603e6-56cc-4ec2-8803-4cd3204aa5aa
f914ee85-fc4e-431e-bd2d-126bb68f7c14,2024-12-08,,Leyla,Withrop,Washington,United States,20067,District of Columbia,Buena Vista,,8fbc526d-f2f4-4aae-a608-bec798212e9d
6da8087c-18ed-4764-b53d-55e7f0395c7c,2025-06-05,,Bobbe,Davisson,Houston,United States,77240,Texas,Briar Crest,,9c9ad8be-e2b3-46a4-8a79-15278495a53c
d5a47d63-17c9-4b43-a760-3cda1c455fe9,2024-11-25,,Edgar,Boggish,Fort Worth,United States,76121,Texas,Kingsford,,8bf82687-2635-4eb3-bcf2-f740a829e5b2
d338517b-bfc9-4093-9a6e-c43047f720e0,2025-03-21,,Ann,Lenaghen,Charlottesville,United States,22908,Virginia,Comanche,,798596e4-464a-442e-8712-6e6cb725624f
75999aac-f4f9-4028-8d6c-41258f898682,2025-03-03,,Mead,Lancley,Pasadena,United States,91103,California,Stoughton,,d92fb4dd-86f0-4154-89a5-af613dc7fc50
35c6581a-8315-4cc6-8976-b889f5394649,2025-03-18,,Nevile,Pawlett,Washington,United States,20380,District of Columbia,Susan,,8bf82687-2635-4eb3-bcf2-f740a829e5b2
